date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:34:18	135/135	---MCZ	200	added ('OK')	text/plain	date:Sat,%2006%20Dec%202025%2023:34:16%20GMT	https://techjp.co.kr/robots.txt		(from )
08:34:18	255933/-1	---M--	200	added ('OK')	text/html	date:Sat,%2006%20Dec%202025%2023:34:17%20GMT	https://techjp.co.kr/	C:/Users/semis/Desktop/techjp/techjp.co.kr/index.html	(from )
08:34:18	336373/336373	---MCZ	200	added ('OK')	text/css	etag:W/%222995ba54f2c587de0db553ce4d7cec12%22	https://vendor-cdn.imweb.me/minify_css/vendor_blue_10.css?1653367465	C:/Users/semis/Desktop/techjp/vendor-cdn.imweb.me/minify_css/vendor_blue_10fd67.css	(from https://techjp.co.kr/)
08:34:19	188453/188453	---M--	200	added ('OK')	text/css	etag:%227da1dae3dc085edc7b17c0ef26ada3d8%22	https://vendor-cdn.imweb.me/minify_css/vendor_red_10.css?1653367465	C:/Users/semis/Desktop/techjp/vendor-cdn.imweb.me/minify_css/vendor_red_10fd67.css	(from https://techjp.co.kr/)
08:34:19	1008/1008	---MCZ	200	added ('OK')	text/css	etag:W/%22b757badc183c0a6a14aae84a417a22f1%22	https://vendor-cdn.imweb.me/css/im_component.css?1698001225	C:/Users/semis/Desktop/techjp/vendor-cdn.imweb.me/css/im_componenta183.css	(from https://techjp.co.kr/)
08:34:19	8438/8438	---MCZ	200	added ('OK')	text/css	etag:W/%22a77d17ebdf3eaf9a5bcc6ce298842e16%22	https://vendor-cdn.imweb.me/css/site/alarm_menu.css?1678083003	C:/Users/semis/Desktop/techjp/vendor-cdn.imweb.me/css/site/alarm_menu1e8d.css	(from https://techjp.co.kr/)
08:34:19	11186/11186	---MCZ	200	added ('OK')	text/css	etag:W/%22dcd2b1e978a669172a0ee54909b2474d%22	https://vendor-cdn.imweb.me/css/function.css?1666824024	C:/Users/semis/Desktop/techjp/vendor-cdn.imweb.me/css/function9092.css	(from https://techjp.co.kr/)
08:34:19	301357/301357	---MCZ	200	added ('OK')	text/css	etag:W/%221def97e13f44c3ab8a02811003e8f5a8%22	https://vendor-cdn.imweb.me/css/site/site.css?1754031372	C:/Users/semis/Desktop/techjp/vendor-cdn.imweb.me/css/site/site708b.css	(from https://techjp.co.kr/)
08:34:20	346946/346946	---MCZ	200	added ('OK')	text/css	etag:W/%225bf3caa94f5b02e6e818b415614c81a5%22	https://vendor-cdn.imweb.me/css/site/site2.css?1754286922	C:/Users/semis/Desktop/techjp/vendor-cdn.imweb.me/css/site/site2dc10.css	(from https://techjp.co.kr/)
08:34:20	1471/1471	---MCZ	200	added ('OK')	text/css	etag:W/%22232888fcfd95b6ca4648f9561a0959c1%22	https://vendor-cdn.imweb.me/css/site/iefix2.css?1590627710	C:/Users/semis/Desktop/techjp/vendor-cdn.imweb.me/css/site/iefix27b18.css	(from https://techjp.co.kr/)
